roi_0_contour_0_x;roi_0_contour_0_y;roi_1_contour_0_x;roi_1_contour_0_y;roi_2_contour_0_x;roi_2_contour_0_y;roi_3_contour_0_x;roi_3_contour_0_y;roi_4_contour_0_x;roi_4_contour_0_y;roi_5_contour_0_x;roi_5_contour_0_y;roi_6_contour_0_x;roi_6_contour_0_y;roi_7_contour_0_x;roi_7_contour_0_y;roi_8_contour_0_x;roi_8_contour_0_y;roi_9_contour_0_x;roi_9_contour_0_y;
316.462;43.1913;90.4619;48.1913;242.462;83.1913;315.462;119.191;101.462;126.191;181.462;148.191;251.462;187.191;105.462;211.191;187.462;235.191;314.462;236.191;
315.462;44.1913;89.4619;49.1913;241.462;84.1913;315.462;120.191;101.462;127.191;179.462;150.191;250.462;188.191;105.462;212.191;186.462;236.191;313.462;237.191;
315.462;45.1913;89.4619;50.1913;241.462;85.1913;314.462;121.191;99.4619;129.191;179.462;151.191;250.462;189.191;104.462;213.191;186.462;237.191;313.462;238.191;
314.462;46.1913;88.4619;51.1913;239.462;87.1913;314.462;122.191;99.4619;130.191;178.462;152.191;249.462;190.191;104.462;214.191;185.462;238.191;312.462;239.191;
314.462;47.1913;88.4619;52.1913;239.462;88.1913;312.462;124.191;98.4619;131.191;178.462;153.191;249.462;191.191;102.462;216.191;185.462;239.191;312.462;240.191;
312.462;49.1913;86.4619;54.1913;238.462;89.1913;312.462;125.191;98.4619;132.191;177.462;154.191;247.462;193.191;102.462;217.191;183.462;241.191;310.462;242.191;
312.462;50.1913;86.4619;55.1913;238.462;90.1913;311.462;126.191;97.4619;133.191;177.462;155.191;247.462;194.191;101.462;218.191;183.462;242.191;310.462;243.191;
311.462;51.1913;85.4619;56.1913;237.462;91.1913;311.462;127.191;97.4619;134.191;175.462;157.191;246.462;195.191;101.462;219.191;182.462;243.191;309.462;244.191;
311.462;52.1913;85.4619;57.1913;237.462;92.1913;310.462;128.191;95.4619;136.191;175.462;158.191;246.462;196.191;100.462;220.191;182.462;244.191;309.462;245.191;
310.462;53.1913;84.4619;58.1913;235.462;94.1913;310.462;129.191;95.4619;137.191;174.462;159.191;245.462;197.191;100.462;221.191;181.462;245.191;308.462;246.191;
310.462;54.1913;84.4619;59.1913;235.462;95.1913;308.462;131.191;94.4619;138.191;174.462;160.191;245.462;198.191;98.4619;223.191;181.462;246.191;308.462;247.191;
308.462;56.1913;82.4619;61.1913;234.462;96.1913;308.462;132.191;94.4619;139.191;173.462;161.191;243.462;200.191;98.4619;224.191;179.462;248.191;306.462;249.191;
308.462;57.1913;82.4619;62.1913;234.462;97.1913;307.462;133.191;93.4619;140.191;173.462;162.191;243.462;201.191;97.4619;225.191;179.462;249.191;306.462;250.191;
307.462;58.1913;81.4619;63.1913;233.462;98.1913;307.462;134.191;93.4619;141.191;171.462;164.191;242.462;202.191;97.4619;226.191;178.462;250.191;305.462;251.191;
307.462;59.1913;81.4619;64.1913;233.462;99.1913;306.462;135.191;91.4619;143.191;171.462;165.191;242.462;203.191;96.4619;227.191;178.462;251.191;305.462;252.191;
305.462;61.1913;79.4619;66.1913;231.462;101.191;306.462;136.191;91.4619;144.191;170.462;166.191;241.462;204.191;96.4619;228.191;177.462;252.191;304.462;253.191;
305.462;62.1913;79.4619;67.1913;231.462;102.191;304.462;138.191;90.4619;145.191;170.462;167.191;241.462;205.191;94.4619;230.191;177.462;253.191;304.462;254.191;
304.462;63.1913;78.4619;68.1913;230.462;103.191;304.462;139.191;90.4619;146.191;169.462;168.191;239.462;207.191;94.4619;231.191;175.462;255.191;302.462;256.191;
304.462;64.1913;78.4619;69.1913;230.462;104.191;303.462;140.191;89.4619;147.191;169.462;169.191;239.462;208.191;93.4619;232.191;175.462;256.191;302.462;257.191;
303.462;65.1913;77.4619;70.1913;229.462;105.191;303.462;141.191;89.4619;148.191;167.462;171.191;238.462;209.191;93.4619;233.191;174.462;257.191;301.462;258.191;
303.462;66.1913;77.4619;71.1913;229.462;106.191;302.462;142.191;87.4619;150.191;167.462;172.191;238.462;210.191;92.4619;234.191;174.462;258.191;301.462;259.191;
301.462;68.1913;75.4619;73.1913;227.462;108.191;302.462;143.191;87.4619;151.191;166.462;173.191;237.462;211.191;92.4619;235.191;173.462;259.191;300.462;260.191;
301.462;69.1913;75.4619;74.1913;227.462;109.191;300.462;145.191;86.4619;152.191;166.462;174.191;237.462;212.191;90.4619;237.191;173.462;260.191;300.462;261.191;
300.462;70.1913;74.4619;75.1913;226.462;110.191;300.462;146.191;86.4619;153.191;165.462;175.191;235.462;214.191;90.4619;238.191;171.462;262.191;298.462;263.191;
300.462;71.1913;74.4619;76.1913;226.462;111.191;299.462;147.191;85.4619;154.191;165.462;176.191;235.462;215.191;89.4619;239.191;171.462;263.191;298.462;264.191;
299.462;72.1913;73.4619;77.1913;225.462;112.191;299.462;148.191;85.4619;155.191;163.462;178.191;234.462;216.191;89.4619;240.191;170.462;264.191;297.462;265.191;
299.462;73.1913;73.3536;78.3536;225.462;113.191;298.462;149.191;83.4619;157.191;163.462;179.191;234.354;217.354;88.4619;241.191;170.462;265.191;297.462;266.191;
297.462;75.1913;29.6464;78.3536;223.462;115.191;298.462;150.191;83.4619;158.191;162.462;180.191;190.646;217.354;88.4619;242.191;169.462;266.191;296.462;267.191;
297.462;76.1913;29.5381;77.1913;223.354;116.354;296.462;152.191;82.1913;159.462;162.354;181.354;190.538;216.191;86.4619;244.191;169.462;267.191;296.462;268.191;
296.191;77.4619;28.5381;76.1913;180.646;116.354;296.354;153.354;39.8087;159.462;119.809;181.462;189.538;215.191;86.3536;245.354;168.191;268.462;294.191;270.462;
253.809;77.4619;28.5381;75.1913;180.538;115.191;253.646;153.354;38.5381;158.191;118.538;180.191;189.538;214.191;43.6464;245.354;125.809;268.462;251.809;270.462;
252.538;76.1913;26.5381;73.1913;178.538;113.191;253.538;152.191;38.5381;157.191;118.538;179.191;188.538;213.191;43.5381;244.191;124.538;267.191;250.538;269.191;
252.538;75.1913;26.5381;72.1913;178.538;112.191;252.538;151.191;37.5381;156.191;116.538;177.191;188.538;212.191;42.5381;243.191;124.538;266.191;250.538;268.191;
251.538;74.1913;25.5381;71.1913;177.538;111.191;252.538;150.191;37.5381;155.191;116.538;176.191;186.538;210.191;42.5381;242.191;123.538;265.191;249.538;267.191;
251.538;73.1913;25.5381;70.1913;177.538;110.191;251.538;149.191;35.5381;153.191;115.538;175.191;186.538;209.191;41.5381;241.191;123.538;264.191;249.538;266.191;
250.538;72.1913;24.5381;69.1913;176.538;109.191;251.538;148.191;35.5381;152.191;115.538;174.191;185.538;208.191;41.5381;240.191;121.538;262.191;248.538;265.191;
250.538;71.1913;24.5381;68.1913;176.538;108.191;249.538;146.191;34.5381;151.191;114.538;173.191;185.538;207.191;39.5381;238.191;121.538;261.191;248.538;264.191;
248.538;69.1913;22.5381;66.1913;174.538;106.191;249.538;145.191;34.5381;150.191;114.538;172.191;183.538;205.191;39.5381;237.191;120.538;260.191;246.538;262.191;
248.538;68.1913;22.5381;65.1913;174.538;105.191;248.538;144.191;33.5381;149.191;112.538;170.191;183.538;204.191;38.5381;236.191;120.538;259.191;246.538;261.191;
247.538;67.1913;21.5381;64.1913;173.538;104.191;248.538;143.191;33.5381;148.191;112.538;169.191;182.538;203.191;38.5381;235.191;119.538;258.191;245.538;260.191;
247.538;66.1913;21.5381;63.1913;173.538;103.191;247.538;142.191;31.5381;146.191;111.538;168.191;182.538;202.191;37.5381;234.191;119.538;257.191;245.538;259.191;
246.538;65.1913;20.5381;62.1913;172.538;102.191;247.538;141.191;31.5381;145.191;111.538;167.191;181.538;201.191;37.5381;233.191;117.538;255.191;244.538;258.191;
246.538;64.1913;20.5381;61.1913;172.538;101.191;245.538;139.191;30.5381;144.191;110.538;166.191;181.538;200.191;35.5381;231.191;117.538;254.191;244.538;257.191;
244.538;62.1913;18.5381;59.1913;170.538;99.1913;245.538;138.191;30.5381;143.191;110.538;165.191;179.538;198.191;35.5381;230.191;116.538;253.191;242.538;255.191;
244.538;61.1913;18.5381;58.1913;170.538;98.1913;244.538;137.191;29.5381;142.191;108.538;163.191;179.538;197.191;34.5381;229.191;116.538;252.191;242.538;254.191;
243.538;60.1913;17.5381;57.1913;169.538;97.1913;244.538;136.191;29.5381;141.191;108.538;162.191;178.538;196.191;34.5381;228.191;115.538;251.191;241.538;253.191;
